comp,units,core_units,core_items,core_traits,main_carry,main_tank,games,avg_place,top4_rate,win_rate,stability_score
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Nunu+Rhaast+TahmKench+Xayah,"Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Aatrox,Jax,Jhin,Maokai,Mordekaiser,Nunu,Rhaast,TahmKench,Xayah","Item_RunaansHurricane,Item_FrozenHeart,Item_WarmogsArmor,Item_StargazerEmblemItem,Item_RapidFireCannon,Item_InfinityEdge,Item_Deathblade,Item_GargoyleStoneplate,Item_Crownguard,Item_AdaptiveHelm,Item_Redemption,Item_NightHarvester","DRX:1,JhinUniqueTrait:1,RhaastUniqueTrait:1,TahmKenchUniqueTrait:1,DarkStar:1,HPTank:1,ResistTank:1,ShieldTank:1,RangedTrait:1,Stargazer_Serpent:1,Stargazer_Shield:1,Stargazer_Mountain:5",Xayah,TahmKench,148,3.97,61.49,10.14,130.51
Aatrox+Akali+Blitzcrank+Fiora+Graves+Nunu+Rhaast+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Nunu,Rhaast,Shen,Vex","Item_GuinsoosRageblade,Item_ThiefsGloves,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Quicksilver,Item_RapidFireCannon,Item_SteraksGage,Item_PowerGauntlet,Item_AdaptiveHelm,Item_Deathblade,Item_GuardianAngel,Item_WarmogsArmor","DRX:1,FioraUniqueTrait:1,RhaastUniqueTrait:1,ShenUniqueTrait:1,BlitzcrankUniqueTrait:1,GravesTrait:1,SpaceGroove:1,VexUniqueTrait:1,ResistTank:1,MeleeTrait:1,ShieldTank:1,MeleeTrait:2",Vex,Nunu,521,4.3,53.93,14.78,130.06
Corki+Fizz+Galio+Milio+Poppy+Rammus+Rhaast+Riven,"Corki,Fizz,Galio,Milio,Poppy,Rammus,Rhaast,Riven","Corki,Fizz,Galio,Milio,Poppy,Rammus,Rhaast,Riven","Item_Deathblade,Item_LastWhisper,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SteraksGage,Item_Morellonomicon,Item_Crownguard,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Redemption,Item_AdaptiveHelm,Item_ThiefsGloves","Fateweaver:1,RhaastUniqueTrait:1,ResistTank:1,Astronaut:2,FlexTrait:1,Timebreaker:1,AssassinTrait:1,AssassinTrait:2,FlexTrait:2,Timebreaker:2,Astronaut:3,Timebreaker:3",Corki,Rammus,106,3.8,66.04,5.66,127.98
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Vex,"Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Vex","Aatrox,Akali,Blitzcrank,Fiora,Graves,Morgana,Nunu,Shen,Vex","Item_ThiefsGloves,Item_GuinsoosRageblade,Item_FrozenHeart,Item_MadredsBloodrazor,Item_Quicksilver,Item_WarmogsArmor,Item_SteraksGage,Item_GargoyleStoneplate,Item_RapidFireCannon,Item_AdaptiveHelm,Item_PowerGauntlet,Item_Deathblade","BlitzcrankUniqueTrait:1,DRX:1,GravesTrait:1,ShenUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,FioraUniqueTrait:1,ResistTank:1,ShieldTank:1,MeleeTrait:1,MorganaUniqueTrait:1,Stargazer_Mountain:2",Vex,Morgana,519,4.38,50.87,16.38,127.75
Bard+Galio+Illaoi+Lissandra+Mordekaiser+Poppy+Rammus+Veigar,"Bard,Galio,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Veigar","Bard,Galio,Illaoi,Lissandra,Mordekaiser,Poppy,Rammus,Veigar","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_SpearOfShojin,Item_Leviathan,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_NightHarvester,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_FrozenHeart,Item_Morellonomicon","APTrait:1,DarkStar:1,ManaTrait:1,ResistTank:1,ShieldTank:1,Astronaut:2,FlexTrait:1,FlexTrait:2,SpaceGroove:1,Astronaut:3",Veigar,Rammus,50,3.62,66.0,16.0,126.3
AurelionSol+Bard+Blitzcrank+Galio+Karma+Mordekaiser+Morgana,"AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana","AurelionSol,Bard,Blitzcrank,Galio,Karma,Mordekaiser,Morgana","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_Morellonomicon,Item_PowerGauntlet,Item_SpearOfShojin,Item_AdaptiveHelm,Item_FrozenHeart,Item_NightHarvester","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:2,MorganaUniqueTrait:1,ShieldTank:1,SpaceGroove:1,FlexTrait:1,Mecha:2,FlexTrait:2,Mecha:1",Galio,Galio,34,3.56,67.65,17.65,126.28
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Teemo,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Teemo","Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Teemo","Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SpearOfShojin,Item_LastWhisper,Item_InfinityEdge,Item_Deathblade,Item_MadredsBloodrazor,Item_Morellonomicon,Item_RapidFireCannon,Item_Redemption,Item_AdaptiveHelm,Item_RabadonsDeathcap","BlitzcrankUniqueTrait:1,ShieldTank:1,SpaceGroove:4,RangedTrait:1,AssassinTrait:1,TFTEvent5YR_Conqueror:2,TFTEvent5YR_Pyro:1",Samira,Ornn,57,3.77,63.16,26.32,126.27
AurelionSol+Bard+Fiora+Galio+Karma+TahmKench+Urgot,"AurelionSol,Bard,Fiora,Galio,Karma,TahmKench,Urgot","AurelionSol,Bard,Fiora,Galio,Karma,TahmKench,Urgot","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_SteraksGage,Item_RabadonsDeathcap,Item_PowerGauntlet,Item_Morellonomicon,Item_ThiefsGloves,Item_RapidFireCannon,Item_GuardianAngel","FioraUniqueTrait:1,HPTank:1,ManaTrait:1,MeleeTrait:1,TahmKenchUniqueTrait:1,FlexTrait:1,Mecha:3,Mecha:2,FlexTrait:2,TFTEvent5YR_Overlord:2,TFTEvent5YR_Pyro:1,DarkStar:1",AurelionSol,Galio,37,3.76,72.97,21.62,126.09
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Shen+Teemo,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Shen,Teemo","Blitzcrank,Gwen,Nami,Nasus,Ornn,Samira,Shen,Teemo","Item_SpearOfShojin,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_LastWhisper,Item_Deathblade,Item_Morellonomicon,Item_Redemption,Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_InfinityEdge,Item_AdaptiveHelm,Item_MadredsBloodrazor","BlitzcrankUniqueTrait:1,ShenUniqueTrait:1,ResistTank:1,ShieldTank:1,SpaceGroove:4,TFTEvent5YR_Conqueror:2,TFTEvent5YR_Yordle:1,APTrait:1,AssassinTrait:1,RangedTrait:1,ResistTank:2,ShieldTank:2",Samira,Ornn,35,3.54,60.0,22.86,125.25
Corki+Fizz+Galio+Milio+Morgana+Poppy+Rammus+Riven,"Corki,Fizz,Galio,Milio,Morgana,Poppy,Rammus,Riven","Corki,Fizz,Galio,Milio,Morgana,Poppy,Rammus,Riven","Item_Deathblade,Item_GargoyleStoneplate,Item_LastWhisper,Item_WarmogsArmor,Item_Crownguard,Item_SteraksGage,Item_FrozenHeart,Item_PowerGauntlet,Item_ThiefsGloves,Item_Redemption,Item_Bloodthirster,Item_Morellonomicon","Fateweaver:1,FlexTrait:1,MorganaUniqueTrait:1,ResistTank:1,Astronaut:2,Timebreaker:1,AssassinTrait:1,AssassinTrait:2,Timebreaker:2,Astronaut:3",Corki,Rammus,42,3.62,76.19,2.38,125.11
Aatrox+Belveth+Kindred+Maokai+MissFortune+Ornn+Rhaast+Urgot,"Aatrox,Belveth,Kindred,Maokai,MissFortune,Ornn,Rhaast,Urgot","Aatrox,Belveth,Kindred,Maokai,MissFortune,Ornn,Rhaast,Urgot","Item_GuinsoosRageblade,Item_InfinityEdge,Item_Deathblade,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Redemption,Item_MadredsBloodrazor,Item_FrozenHeart,Item_SteraksGage,Item_RedBuff,Item_ThiefsGloves,Item_RapidFireCannon","DRX:1,HPTank:1,MeleeTrait:1,MissFortuneUniqueTrait:1,ResistTank:1,RhaastUniqueTrait:1,SpaceGroove:1,ASTrait:2,ASTrait:3,Primordian:1,TFTEvent5YR_Bilgewater:2,TFTEvent5YR_Mountain:1",MissFortune,Ornn,72,3.85,69.44,11.11,124.97
Aatrox+Caitlyn+Corki+Jax+Milio+Riven+Talon+TwistedFate,"Aatrox,Caitlyn,Corki,Jax,Milio,Riven,Talon,TwistedFate","Aatrox,Caitlyn,Corki,Jax,Milio,Riven,Talon,TwistedFate","Item_GargoyleStoneplate,Item_Leviathan,Item_ThiefsGloves,Item_SpearOfShojin,Item_RabadonsDeathcap,Item_PowerGauntlet,Item_Deathblade,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_GuinsoosRageblade,Item_FrozenHeart,Item_RedBuff","DRX:1,Fateweaver:2,ResistTank:1,Timebreaker:1,AssassinTrait:1,Stargazer_Medallion:1,Stargazer_Shield:1,Stargazer_Fountain:1,Stargazer_Serpent:1,Stargazer_Wolf:1,Stargazer_Huntress:1,AssassinTrait:2",TwistedFate,Jax,78,3.83,67.95,6.41,124.14
Gwen+Nami+Nasus+Ornn+Samira+Shen,"Gwen,Nami,Nasus,Ornn,Samira,Shen","Gwen,Nami,Nasus,Ornn,Samira,Shen","Item_WarmogsArmor,Item_GargoyleStoneplate,Item_SpearOfShojin,Item_LastWhisper,Item_InfinityEdge,Item_Deathblade,Item_Morellonomicon,Item_Redemption,Item_MadredsBloodrazor,Item_NightHarvester,Item_RapidFireCannon,Item_PowerGauntlet","ResistTank:1,ShenUniqueTrait:1,SpaceGroove:3,RangedTrait:1,BlitzcrankUniqueTrait:1,Stargazer_Mountain:2",Samira,Ornn,40,3.75,75.0,10.0,124.0
Illaoi+Karma+Leblanc+Lissandra+Morgana+Nunu+Rhaast+Sona,"Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Rhaast,Sona","Illaoi,Karma,Leblanc,Lissandra,Morgana,Nunu,Rhaast,Sona","Item_GuinsoosRageblade,Item_FrozenHeart,Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_AdaptiveHelm,Item_SpearOfShojin,Item_MadredsBloodrazor,Item_Redemption,Item_PowerGauntlet","DarkStar:1,FlexTrait:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,ShieldTank:1,SonaUniqueTrait:1,PsyOps:1",Leblanc,Morgana,21,3.57,76.19,4.76,123.63
Gwen+Jhin+Nami+Nasus+Ornn+Samira,"Gwen,Jhin,Nami,Nasus,Ornn,Samira","Gwen,Jhin,Nami,Nasus,Ornn,Samira","Item_GargoyleStoneplate,Item_SpearOfShojin,Item_WarmogsArmor,Item_LastWhisper,Item_InfinityEdge,Item_Deathblade,Item_Redemption,Item_MadredsBloodrazor,Item_NightHarvester,Item_BlueBuff,Item_Morellonomicon,Item_RapidFireCannon","SpaceGroove:3,JhinUniqueTrait:1,RangedTrait:1,ResistTank:1,ShieldTank:1,DarkStar:1",Samira,Ornn,27,3.7,70.37,11.11,121.46
Blitzcrank+Illaoi+Karma+Leblanc+Leona+Lissandra+Nunu+Sona,"Blitzcrank,Illaoi,Karma,Leblanc,Leona,Lissandra,Nunu,Sona","Blitzcrank,Illaoi,Karma,Leblanc,Leona,Lissandra,Nunu,Sona","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_StatikkShiv,Item_JeweledGauntlet,Item_WarmogsArmor,Item_MadredsBloodrazor,Item_RabadonsDeathcap,Item_Morellonomicon,Item_SpearOfShojin,Item_FrozenHeart,Item_AdaptiveHelm,Item_Redemption","BlitzcrankUniqueTrait:1,DarkStar:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,ADMIN:1,ADMIN:2,FlexTrait:2,PsyOps:1",Leblanc,Leona,39,3.82,69.23,12.82,120.98
Gwen+Nami+Nasus+Ornn+Rammus+Samira,"Gwen,Nami,Nasus,Ornn,Rammus,Samira","Gwen,Nami,Nasus,Ornn,Rammus,Samira","Item_SpearOfShojin,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_LastWhisper,Item_InfinityEdge,Item_MadredsBloodrazor,Item_Deathblade,Item_RapidFireCannon,Item_Redemption,Item_Morellonomicon,Item_AdaptiveHelm,Item_NightHarvester","ResistTank:1,SpaceGroove:3,RangedTrait:1",Samira,Ornn,33,3.79,69.7,12.12,120.71
Akali+Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Akali,Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot","Akali,Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_MeleeTraitEmblemItem,Item_Quicksilver,Item_LastWhisper,Item_GuinsoosRageblade,Item_SteraksGage,Item_WarmogsArmor,Item_Redemption,Item_SpectralGauntlet,Item_RapidFireCannon,Item_ThiefsGloves","FioraUniqueTrait:1,TahmKenchUniqueTrait:1,DRX:1,PsyOps:1,HPTank:2,ASTrait:1,MeleeTrait:3,MeleeTrait:2,ASTrait:2,Primordian:1,HPTank:3,SpaceGroove:1",Kindred,TahmKench,106,4.1,58.49,5.66,118.92
Illaoi+Lissandra+Mordekaiser+Nami+Pyke+Rhaast+Viktor,"Illaoi,Lissandra,Mordekaiser,Nami,Pyke,Rhaast,Viktor","Illaoi,Lissandra,Mordekaiser,Nami,Pyke,Rhaast,Viktor","Item_GargoyleStoneplate,Item_WarmogsArmor,Item_JeweledGauntlet,Item_StatikkShiv,Item_RabadonsDeathcap,Item_Morellonomicon,Item_SpearOfShojin,Item_PsyOps_DroneMod,Item_ArchangelsStaff,Item_Crownguard,Item_IonicSpark,Item_PsyOps_SympatheticImplantMod","APTrait:1,DarkStar:1,ManaTrait:1,PsyOps:1,RhaastUniqueTrait:1,ShieldTank:1,SpaceGroove:1,FlexTrait:1,FlexTrait:2",Illaoi,Illaoi,47,3.87,68.09,6.38,118.75
Bard+Galio+Karma+Lissandra+Poppy+Rammus+Sona+Veigar,"Bard,Galio,Karma,Lissandra,Poppy,Rammus,Sona,Veigar","Bard,Galio,Karma,Lissandra,Poppy,Rammus,Sona,Veigar","Item_GargoyleStoneplate,Item_JeweledGauntlet,Item_StatikkShiv,Item_SpearOfShojin,Item_WarmogsArmor,Item_Leviathan,Item_Morellonomicon,Item_AdaptiveHelm,Item_BlueBuff,Item_FrozenHeart,Item_NightHarvester,Item_RabadonsDeathcap","APTrait:1,Astronaut:2,DarkStar:1,ResistTank:1,SonaUniqueTrait:1,FlexTrait:2,PsyOps:1,FlexTrait:3",Veigar,Rammus,50,3.82,62.0,8.0,118.3
Bard+Corki+Fizz+Galio+Gnar+Jhin+Poppy+Rammus,"Bard,Corki,Fizz,Galio,Gnar,Jhin,Poppy,Rammus","Bard,Corki,Fizz,Galio,Gnar,Jhin,Poppy,Rammus","Item_Deathblade,Item_LastWhisper,Item_GuinsoosRageblade,Item_InfinityEdge,Item_GargoyleStoneplate,Item_FrozenHeart,Item_Crownguard,Item_MadredsBloodrazor,Item_RapidFireCannon,Item_WarmogsArmor,Item_AdaptiveHelm,Item_Redemption","Astronaut:3,FlexTrait:1,JhinUniqueTrait:1,RangedTrait:1,ResistTank:1,AssassinTrait:1,DarkStar:1,ResistTank:2",Gnar,Rammus,30,3.87,66.67,13.33,117.83
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona","AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona","Item_JeweledGauntlet,Item_RabadonsDeathcap,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_StatikkShiv,Item_FrozenHeart,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_PowerGauntlet,Item_SpearOfShojin,Item_Morellonomicon,Item_Redemption","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,MorganaUniqueTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,FlexTrait:2",AurelionSol,Nunu,27,3.78,66.67,7.41,117.38
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,RekSai,TahmKench,Urgot","Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,RekSai,TahmKench,Urgot","Item_GuardianAngel,Item_HPTankEmblemItem,Item_MadredsBloodrazor,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_LastWhisper,Item_Quicksilver,Item_Redemption,Item_SteraksGage,Item_RapidFireCannon,Item_GargoyleStoneplate,Item_Deathblade","DRX:1,FioraUniqueTrait:1,MeleeTrait:2,TahmKenchUniqueTrait:1,PsyOps:1,HPTank:3,ASTrait:1,Primordian:1,Primordian:2,ASTrait:2,HPTank:2,ASTrait:3",Kindred,TahmKench,72,4.06,65.28,2.78,116.63
Bard+Blitzcrank+Graves+Illaoi+Karma+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Graves,Illaoi,Karma,Mordekaiser,Nunu,Sona","Bard,Blitzcrank,Graves,Illaoi,Karma,Mordekaiser,Nunu,Sona","Item_SpearOfShojin,Item_JeweledGauntlet,Item_AdaptiveHelm,Item_MadredsBloodrazor,Item_ThiefsGloves,Item_FrozenHeart,Item_RabadonsDeathcap,Item_Morellonomicon,Item_PowerGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_WarmogsArmor","BlitzcrankUniqueTrait:1,DarkStar:1,FlexTrait:1,GravesTrait:1,ManaTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1",Graves,Nunu,24,3.88,66.67,12.5,116.52
Belveth+Fiora+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Belveth,Fiora,Gragas,Graves,Kindred,Maokai,MasterYi,TahmKench,Urgot","Belveth,Fiora,Gragas,Graves,Kindred,Maokai,MasterYi,TahmKench,Urgot","Item_GuardianAngel,Item_MadredsBloodrazor,Item_Quicksilver,Item_LastWhisper,Item_WarmogsArmor,Item_GuinsoosRageblade,Item_Deathblade,Item_RedBuff,Item_Redemption,Item_RapidFireCannon,Item_RunaansHurricane,Item_SteraksGage","DRX:1,FioraUniqueTrait:1,GravesTrait:1,TahmKenchUniqueTrait:1,MeleeTrait:2,PsyOps:1,HPTank:2,ASTrait:1,ASTrait:2,HPTank:3,Primordian:1,MeleeTrait:3",TahmKench,TahmKench,73,4.12,61.64,10.96,116.43
Aatrox+Akali+Belveth+Caitlyn+Jinx+Kindred+Maokai+RekSai,"Aatrox,Akali,Belveth,Caitlyn,Jinx,Kindred,Maokai,RekSai","Aatrox,Akali,Belveth,Caitlyn,Jinx,Kindred,Maokai,RekSai","Item_Deathblade,Item_MadredsBloodrazor,Item_RunaansHurricane,Item_GuardianAngel,Item_Crownguard,Item_FrozenHeart,Item_PowerGauntlet,Item_GuinsoosRageblade,Item_WarmogsArmor,Item_Quicksilver,Item_InfinityEdge,Item_RapidFireCannon","DRX:2,HPTank:1,MeleeTrait:1,ASTrait:2,Primordian:1,Primordian:2,ASTrait:3,ResistTank:1,SpaceGroove:1",Jinx,RekSai,22,3.82,68.18,4.55,115.57
AurelionSol+Chogath+Galio+Jhin+Kaisa+Karma+Mordekaiser+Nunu+TahmKench,"AurelionSol,Chogath,Galio,Jhin,Kaisa,Karma,Mordekaiser,Nunu,TahmKench","AurelionSol,Chogath,Galio,Jhin,Kaisa,Karma,Mordekaiser,Nunu,TahmKench","Item_JeweledGauntlet,Item_DarkStarEmblemItem,Item_FrozenHeart,Item_GargoyleStoneplate,Item_StatikkShiv,Item_PowerGauntlet,Item_AdaptiveHelm,Item_WarmogsArmor,Item_RabadonsDeathcap,Item_Morellonomicon,Item_Redemption,Item_MadredsBloodrazor","DarkStar:3,HPTank:1,JhinUniqueTrait:1,ManaTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,FlexTrait:1,FlexTrait:2,Mecha:1,RangedTrait:1,TFTEvent5YR_Bilgewater:2,TFTEvent5YR_Demacia:1",AurelionSol,TahmKench,31,3.87,61.29,9.68,114.65
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,TahmKench","Item_JeweledGauntlet,Item_Leviathan,Item_GargoyleStoneplate,Item_WarmogsArmor,Item_SpearOfShojin,Item_StatikkShiv,Item_RabadonsDeathcap,Item_ResistTankEmblemItem,Item_SpaceGrooveEmblemItem,Item_RedBuff,Item_Crownguard,Item_UnstableConcoction","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,RhaastUniqueTrait:1,ShieldTank:1,TahmKenchUniqueTrait:1,Timebreaker:1,AssassinTrait:1,SpaceGroove:3,ResistTank:1,SpaceGroove:4,AssassinTrait:2",Nami,Ornn,20,3.85,55.0,20.0,114.0
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Samira,Shen,TahmKench","Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Samira,Shen,TahmKench","Item_SpaceGrooveEmblemItem,Item_JeweledGauntlet,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_StatikkShiv,Item_Leviathan,Item_SpearOfShojin,Item_MadredsBloodrazor,Item_Morellonomicon,Item_Redemption,Item_ThiefsGloves,Item_RapidFireCannon","APTrait:1,BlitzcrankUniqueTrait:1,HPTank:1,ResistTank:1,ShenUniqueTrait:1,ShieldTank:1,SpaceGroove:4,TahmKenchUniqueTrait:1,AssassinTrait:1,RangedTrait:1,Timebreaker:1",Nami,Ornn,34,4.0,67.65,5.88,113.92
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona","Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_FrozenHeart,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_Morellonomicon,Item_WarmogsArmor,Item_AdaptiveHelm,Item_SpearOfShojin,Item_PowerGauntlet,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,DarkStar:1,ManaTrait:1,ShieldTank:2,FlexTrait:1,PsyOps:1,Astronaut:1,FlexTrait:2,DarkStar:2",Bard,Illaoi,139,4.45,48.92,7.91,113.73
Illaoi+Karma+Leblanc+Leona+Lissandra+Morgana+Rhaast+Sona,"Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Rhaast,Sona","Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Rhaast,Sona","Item_GargoyleStoneplate,Item_GuinsoosRageblade,Item_StatikkShiv,Item_WarmogsArmor,Item_FrozenHeart,Item_JeweledGauntlet,Item_Morellonomicon,Item_Redemption,Item_MadredsBloodrazor,Item_RabadonsDeathcap,Item_SpearOfShojin,Item_Crownguard","DarkStar:1,MorganaUniqueTrait:1,RhaastUniqueTrait:1,ShieldTank:1,SonaUniqueTrait:1,ADMIN:1,FlexTrait:1,PsyOps:1,ADMIN:2,FlexTrait:2,TFTEvent5YR_Demacia:2,TFTEvent5YR_Heroic:1",Leblanc,Morgana,25,4.0,68.0,8.0,113.35
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona","AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona","Item_WarmogsArmor,Item_JeweledGauntlet,Item_FrozenHeart,Item_GargoyleStoneplate,Item_StatikkShiv,Item_RabadonsDeathcap,Item_MadredsBloodrazor,Item_AdaptiveHelm,Item_Morellonomicon,Item_PowerGauntlet,Item_ArchangelsStaff,Item_RapidFireCannon","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,RhaastUniqueTrait:1,SonaUniqueTrait:1,SpaceGroove:1,ShieldTank:2,FlexTrait:1,FlexTrait:2,PsyOps:1,ShieldTank:3",AurelionSol,Illaoi,22,3.86,63.64,4.55,112.85
AurelionSol+Bard+Blitzcrank+Illaoi+Karma+Leona+Mordekaiser+Sona,"AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona","AurelionSol,Bard,Blitzcrank,Illaoi,Karma,Leona,Mordekaiser,Sona","Item_JeweledGauntlet,Item_GargoyleStoneplate,Item_StatikkShiv,Item_MadredsBloodrazor,Item_Morellonomicon,Item_RabadonsDeathcap,Item_SpearOfShojin,Item_FrozenHeart,Item_WarmogsArmor,Item_AdaptiveHelm,Item_PowerGauntlet,Item_ThiefsGloves","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:2,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,FlexTrait:1,FlexTrait:2,ADMIN:1",Leona,Leona,21,3.81,52.38,14.29,112.2
Bard+Blitzcrank+Galio+Illaoi+Karma+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Galio,Illaoi,Karma,Mordekaiser,Nunu,Sona","Bard,Blitzcrank,Galio,Illaoi,Karma,Mordekaiser,Nunu,Sona","Item_JeweledGauntlet,Item_StatikkShiv,Item_AdaptiveHelm,Item_WarmogsArmor,Item_GargoyleStoneplate,Item_Morellonomicon,Item_FrozenHeart,Item_ThiefsGloves,Item_RabadonsDeathcap,Item_SpearOfShojin,Item_MadredsBloodrazor,Item_PowerGauntlet","BlitzcrankUniqueTrait:1,DarkStar:1,ManaTrait:1,SonaUniqueTrait:1,SpaceGroove:1,ShieldTank:2,FlexTrait:2,FlexTrait:3,ShieldTank:3,Astronaut:1,PsyOps:1",Bard,Nunu,20,3.95,65.0,5.0,111.5
Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona+Vex,"Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex","Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona,Vex","Item_GuinsoosRageblade,Item_GargoyleStoneplate,Item_MadredsBloodrazor,Item_WarmogsArmor,Item_JeweledGauntlet,Item_StatikkShiv,Item_AdaptiveHelm,Item_FrozenHeart,Item_RabadonsDeathcap,Item_SpearOfShojin,Item_ThiefsGloves,Item_Morellonomicon","BlitzcrankUniqueTrait:1,DarkStar:1,MorganaUniqueTrait:1,ShieldTank:2,SonaUniqueTrait:1,SpaceGroove:1,VexUniqueTrait:1,FlexTrait:1,FlexTrait:2,PsyOps:1",Vex,Morgana,30,4.03,63.33,6.67,111.17
